covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
treatment_continuation,-0.5967355711595208,0.5506061200158409,0.2289221495954922,-1.045414739630176,-0.1480564026888656,0.35154598908585316,0.8623824728799857,0.0,-2.6067183634871447,0.009141451537247932,6.773361020984734
age_at_index,-0.0014457584655272245,0.9985552861397669,0.009784006865920776,-0.020622059547224555,0.017730542616170103,0.9795891209724285,1.0178886618175667,0.0,-0.1477675236066143,0.8825262403267055,0.18028891992971777
gender_M,0.1403218114144682,1.150644029664518,0.22392191833290737,-0.2985570838671495,0.5792007066960859,0.7418879308092541,1.7846114325628617,0.0,0.6266550968264308,0.5308853438854932,0.9135277812569098
race_Black,-0.9431478559278551,0.38940012854726275,0.46236441044850796,-1.8493654481400257,-0.03693026371568442,0.15733697311291509,0.9637433408853212,0.0,-2.03983661937339,0.04136660118327106,4.59538976392699
race_Other,-0.5590882693701139,0.5717300901301122,0.5831978372154948,-1.7021350261741368,0.5839584874339091,0.18229390601765078,1.7931224531912564,0.0,-0.9586597097813443,0.3377302017820045,1.5660568956638623
race_Unknown,-0.5197390875868627,0.5946756859988636,0.5630108822503027,-1.6232201397015773,0.5837419645278518,0.19726246256082552,1.792734243136476,0.0,-0.923142170022564,0.35593312103453756,1.4903219071113698
race_White,-0.34324688104187506,0.7094630369637175,0.3306345021031516,-0.9912785972103849,0.3047848351266348,0.37110189770085195,1.3563331363600992,0.0,-1.038145985547475,0.2992020951402019,1.740807817262761
payer_Medicaid,0.7571084200917133,2.13210215464355,0.38726234991778685,-0.0019118383154969054,1.5161286784989234,0.9980899880832635,4.554558859532854,0.0,1.9550271805468367,0.050579862195341024,4.30529308338585
payer_Medicare,0.042293913341408966,1.0432010444014104,0.25717255919721627,-0.4617550404971299,0.5463428671799478,0.63017668880494,1.7269258580541484,0.0,0.1644573335251344,0.8693711322839912,0.20195590357568344
payer_Other,0.3414129005037075,1.4069340447225633,0.42433292682591817,-0.49026435352956227,1.1730901545369772,0.6124644656389446,3.2319644930491527,0.0,0.8045873391384768,0.4210578506474577,1.247909630934302
payer_Unknown,0.7270944335823852,2.0690600739125813,0.4866204988565701,-0.22666421831540673,1.680853085480177,0.7971884186240793,5.370135201973979,0.0,1.4941714031588589,0.13513082497019635,2.8875712865519447
smoking_history_Former,-0.3452486727636783,0.7080442602509108,0.28031456314624625,-0.8946551208723997,0.2041577753450431,0.4087485431760157,1.2264916483344572,0.0,-1.2316472925580912,0.21808086662077933,2.1970648945656794
smoking_history_Never,-0.1467841691429882,0.8634803230041589,0.30330632500590454,-0.7412536424377615,0.4476853041517851,0.47651616003300123,1.5646862179106997,0.0,-0.48394694419950096,0.62842352306465,0.6701909104781145
smoking_history_Unknown,-0.5916870688838851,0.5533928848410598,0.4680776635157276,-1.5091024313423693,0.3257282935745991,0.221108348844179,1.385038993749298,0.0,-1.2640788377717669,0.20620173144422999,2.277871648042075
ecog_ps_1,-0.11283497729640064,0.8932980624146978,0.29382452352675953,-0.6887204611834912,0.46305050659068986,0.502218265886119,1.588913590997904,0.0,-0.38402164646452464,0.7009624037601656,0.512591027774606
ecog_ps_2,0.6055564428790555,1.8322714796938544,0.3430926312384698,-0.06689275770942715,1.2780056434675382,0.9352954991902903,3.5894738916266977,0.0,1.7649940212739743,0.07756477053362464,3.6884546522718655
ecog_ps_3,-0.30147476980951027,0.7397264895594423,0.4219424897942583,-1.128466853353416,0.5255173137343954,0.3235288936212421,1.691333572192602,0.0,-0.7144925602456182,0.4749226549534986,1.0742355170244573
pdl1_status_Positive (TPS 1-49%),0.11921499138417509,1.1266121041491828,0.30000447453854706,-0.46878297391224083,0.707212956680591,0.6257633753977738,2.0283303291897394,0.0,0.3973773776792698,0.6910891951042466,0.5330561714950837
pdl1_status_Positive (TPS ≥50%),0.13731668324297247,1.1471913872903838,0.28332088542788836,-0.41798204826368773,0.6926154147496326,0.6583740472760339,1.998936751104135,0.0,0.4846684106453659,0.6279115778899693,0.6713666808677786
pdl1_status_Unknown,0.26199863023852205,1.2995247623892034,0.31624467589687516,-0.3578295448218954,0.8818268052989395,0.699192245788384,2.4153079760753435,0.0,0.8284681141128766,0.4074054455406314,1.2954628308281397
histology_Adenosquamous,-0.6829077147162119,0.5051460342810283,0.5621898152501571,-1.7847795050817468,0.4189640756493229,0.16783406347871357,1.5203857349388041,0.0,-1.2147280085683143,0.22446984633914835,2.1554064381559206
histology_Large Cell,-0.10456139939600008,0.9007194920762647,0.6401484947818109,-1.3592293939258764,1.150106595133876,0.25685863753375676,3.1585295756289393,0.0,-0.1633392880688393,0.8702513018521505,0.2004960277376155
histology_NSCLC NOS,0.2160762257013842,1.2411969865057166,0.34860826867457206,-0.4671834256136398,0.8993358770164082,0.6267651150921464,2.4579701744957188,0.0,0.6198253028332288,0.5353728081769592,0.9013842291706793
histology_Squamous Cell Carcinoma,0.4500268131515926,1.568354237446313,0.246236660484662,-0.03258817307176204,0.9326417993749472,0.9679371000811999,2.5412136944740107,0.0,1.827619056666116,0.0676067437281245,3.8866890282100406
de_novo_vs_recurrent_Recurrent,0.29093980834977495,1.3376840641154497,0.2574377318911024,-0.21362887441846423,0.7955084911180141,0.8076480682681946,2.2155673067173405,0.0,1.1301366206599586,0.25841866092545146,1.952217841215674
brain_mets_Yes,-0.3705575314632683,0.6903493318497063,0.2392577581111827,-0.8394941203829824,0.09837905745644576,0.4319289722330744,1.103380950625757,0.0,-1.5487795856177455,0.12143471457825329,3.0417471906689437
diabetes_Yes,0.6692229663997572,1.9527194023880716,0.3241042818471696,0.033990246744085906,1.3044556860554284,1.0345745162088915,3.6856823792989313,0.0,2.064838398880911,0.038938293276951336,4.682666539790487
chronic_respiratory_disease_Yes,0.4614479466887858,1.586369301022447,0.2444552411519599,-0.017675521801109317,0.9405714151786809,0.9824797739106468,2.5614446485850206,0.0,1.8876582253433356,0.05907184795916686,4.081385444923901
severe_cardiac_Yes,-0.7107160537196952,0.4912922798156128,0.5735006542828104,-1.8347566812241602,0.41332457378476983,0.15965234345524001,1.511835648526463,0.0,-1.2392593598842168,0.21524946389519636,2.2159184504671234
chronic_kidney_disease_Yes,-0.5430902760635262,0.580950179100952,0.6405973947503655,-1.7986380983644303,0.712457546237378,0.1655241624136392,2.038996033425135,0.0,-0.8477872069323091,0.39655648899259177,1.3344017041544005
beta_blocker_Yes,0.39121793608912825,1.4787807579925851,0.2638450049119514,-0.12590877103909015,0.9083446432173466,0.8816952792586407,2.4802134951293535,0.0,1.4827566518444528,0.1381390769116112,2.8558066066311127
diuretic_Yes,0.07279856155119462,1.0755138652477496,0.3970859357264867,-0.7054755712401061,0.8510726943424952,0.49387364629565417,2.342157924433339,0.0,0.18333200700751678,0.8545375220129818,0.22678425408767658
painkiller_Yes,-0.0620735944129911,0.9398137192069602,0.23974035106187844,-0.5319560481352618,0.40780885930927957,0.5874547553290651,1.5035197498994848,0.0,-0.2589200947527166,0.7956968933772023,0.329709128565691
steroid_Yes,0.05406894292690395,1.0555573728613385,0.22896456483599914,-0.39469335788754045,0.5028312437413484,0.6738866495953223,1.6533958167460703,0.0,0.23614546192172578,0.8133197977916673,0.2981053625493832
rasi_Yes,-0.1213562352327338,0.8857183792928182,0.2387987997870306,-0.589393282366705,0.34668081190123734,0.554663706919088,1.414365204773594,0.0,-0.5081944940299686,0.6113169518110174,0.7100075213154403
anticoagulant_Yes,-0.13304808784380606,0.8754229938923785,0.34899249810506733,-0.8170608150044011,0.550964639316789,0.44172806888406474,1.7349257885548464,0.0,-0.3812348075280138,0.7030290231906859,0.5083438454914475
