covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
treatment_continuation,-0.7004838387685912,0.4963450946854477,0.21749316622193057,-1.1267626114471585,-0.2742050660900239,0.32408073522186126,0.7601761729207767,0.0,-3.220716544508878,0.001278705504239005,9.61110024600574
age_at_index,-0.0025425391354738816,0.9974606903795179,0.009171608159992024,-0.020518560809371922,0.015433482538424158,0.9796905124569182,1.0155531937910203,0.0,-0.2772184649759495,0.7816123620474891,0.3554748096133445
gender_M,0.1774108229548808,1.1941215649214925,0.21403593445138122,-0.24209189996720215,0.5969135458769638,0.7849840342298958,1.81650358431742,0.0,0.8288833527399115,0.407170416221317,1.2962953515515363
race_Black,-1.0387025056333195,0.3539135850652163,0.4410006033489674,-1.9030478053577295,-0.17435720590890935,0.1491134571586465,0.8399967922442543,0.0,-2.355331257475368,0.018506200058285596,5.755847497692311
race_Other,-0.7152480786534501,0.4890707687278935,0.5525837821297519,-1.7982923900686918,0.36779623276179163,0.16558139538211677,1.4445476574956189,0.0,-1.2943703774597985,0.19553751761820118,2.3544826521179494
race_Unknown,-0.4266477697189294,0.6526934101273698,0.531355011730531,-1.4680844557156283,0.6147889162777693,0.23036633973911108,1.8492662083625069,0.0,-0.8029429671311685,0.4220076998412484,1.2446587726813414
race_White,-0.39229935113605735,0.675501871438748,0.3084547303013337,-0.996859513387687,0.21226081111557232,0.36903657766618514,1.236470328233975,0.0,-1.2718214784802122,0.20343655576497746,2.2973491527508814
payer_Medicaid,0.7937517326112652,2.211678506845253,0.3765087478072743,0.05580814704473358,1.5316953181777968,1.0573947999580522,4.626012741726457,0.0,2.108189350802461,0.03501461406107601,4.8358990039174685
payer_Medicare,0.21184255432090837,1.2359532742559982,0.2508057372065941,-0.2797276577200335,0.7034127663618502,0.7559896013539397,2.0206369153865373,0.0,0.8446479601318254,0.39830742294054855,1.328045728567815
payer_Other,0.6054555470663672,1.832086620499761,0.391170606334018,-0.16122475315900364,1.372135847291738,0.8511007620244008,3.9437649862167605,0.0,1.5478043014033949,0.1216694205770558,3.0389614767564335
payer_Unknown,0.6707021919671554,1.9556100522885704,0.4523840590085212,-0.21595427086958874,1.5573586548038996,0.8057721482906469,4.746268141341387,0.0,1.4825946640054395,0.13818213570026536,2.8553569799030476
smoking_history_Former,-0.2507035540541107,0.7782530473265759,0.26055216860982644,-0.7613764206231781,0.2599693125149567,0.46702316409673156,1.2968902877538024,0.0,-0.9622009879700372,0.3359486529585012,1.5736873493326362
smoking_history_Never,-0.11841711347278706,0.8883254428164025,0.27483076968054715,-0.6570755238900822,0.42024129694450807,0.5183650662290941,1.522328844602736,0.0,-0.43087283716605174,0.66656083491031,0.5851915433267195
smoking_history_Unknown,-0.6273836930872554,0.5339870490201739,0.4220984865607406,-1.454681524675171,0.1999141385006602,0.2334747079956114,1.2212978911901387,0.0,-1.4863443320993142,0.1371880662100246,2.8657731058578895
ecog_ps_1,0.018848828201543523,1.0190275887396805,0.27262776266976874,-0.5154917678169366,0.5531894242200237,0.5972068352918152,1.7387899220965914,0.0,0.06913759632167366,0.9448800950751832,0.0817968313905739
ecog_ps_2,0.7258983962836699,2.0665868802016885,0.30303188880363346,0.13196680806140193,1.319829984505938,1.1410704442985435,3.7427849917251588,0.0,2.395452172210353,0.016599879763624557,5.91268339790438
ecog_ps_3,-0.0417635389499946,0.9590965427367704,0.39759828415049453,-0.8210418561998865,0.7375147782998972,0.4399730270095616,2.0907331173045636,0.0,-0.10503953516606909,0.9163444376977435,0.12603811102445614
pdl1_status_Positive (TPS 1-49%),-0.030711583568097865,0.9697552260879522,0.28435573848601725,-0.5880385897979818,0.5266154226617861,0.5554156149080828,1.6931918608023446,0.0,-0.10800409280155272,0.9139924456175689,0.12974585379998058
pdl1_status_Positive (TPS ≥50%),0.0644736173540926,1.0665974382109082,0.2711918234624653,-0.4670525895340838,0.595999824242269,0.626847123947349,1.8148445637498463,0.0,0.2377417450530774,0.8120814038950266,0.3003037429581144
pdl1_status_Unknown,0.11362697409596155,1.120334133275261,0.30589752367714346,-0.48592115527122803,0.7131751034631512,0.6151303051836745,2.0404596548154945,0.0,0.37145437704127354,0.7102991308506259,0.49350137490252205
histology_Adenosquamous,-0.4431108500022646,0.6420360334473074,0.53613974227477,-1.4939254355414007,0.6077037355368714,0.2244897038261293,1.836210129993379,0.0,-0.8264838717648572,0.40852966332249563,1.2914872586839756
histology_Large Cell,-0.3306288604041567,0.7184717728873022,0.6290616861394442,-1.5635671092915067,0.9023093884831932,0.20938782819439752,2.4652898541770867,0.0,-0.5255905226611848,0.5991727430005467,0.7389560993156012
histology_NSCLC NOS,0.05438096545574704,1.0558867819310107,0.32684695927190066,-0.5862273031736082,0.6949892340851022,0.5564225434251207,2.003687502295925,0.0,0.1663805151404455,0.8678575068949996,0.20446990817564586
histology_Squamous Cell Carcinoma,0.43422030078150814,1.5437589219550154,0.2385434145917551,-0.03331620056753826,0.9017568021305545,0.9672326717108838,2.4639279449692464,0.0,1.8202988396247948,0.0687135080115009,3.8632624513490295
de_novo_vs_recurrent_Recurrent,0.19344705571138524,1.213425140919922,0.24850783945239316,-0.29361935949116735,0.6805134709139378,0.7455602278635745,1.97489152128694,0.0,0.7784344193634344,0.4363129541918148,1.196564786722231
brain_mets_Yes,-0.28767316303670604,0.7500066820910729,0.22079601290909148,-0.7204253962685662,0.1450790701951541,0.48654523740215305,1.156130982156379,0.0,-1.3028911131431977,0.1926119383469752,2.376230968755824
